CODEKHUM,mean_elev,med_elev
10505,16.6340286,17
171109,26.15096681,26
150407,142.5898949,102
20502,8.904790491,9
120509,16.86536885,17
70204,8.132365973,8
80814,19.24543269,20
70205,17.64276049,14
40407,4.637853383,5
80211,4.251485046,4
50707,31.19534304,30
170713,7.799291997,7
180210,59.18509016,36
200208,4.361526398,4
60207,9.333667244,9
30108,20.50223177,19
60607,51.38135874,51
100408,36.71361838,38
80507,4.901494799,5
130101,54.84021268,54
81010,4.664703408,5
200308,5.521283751,6
50404,97.42318072,90
180103,100,100
180103,28.56076759,22
180103,31.39724481,22
180104,100,100
180104,18.03659783,10
180101,88.9057422,98
180102,46.70638298,35
130203,96.85698338,99
130204,70.09718742,69
200710,4.249790655,4
170411,13.63925714,10
80313,8.70161597,7
211010,4.542143308,5
190303,235.6119969,217
150406,246.4462212,193
100307,46.49967503,41
210411,35.72193878,5
160706,174.855035,169
190402,70.97688043,60
80613,5.089689536,5
