CODEKHUM,KHUM_NAME,perc_change_dir,perc_change
30908,Preaek a Chi,0,0
30901,Chhuk,0,0
30305,Pring Chrum,#DIV/0!,#DIV/0!
40604,Chrey Bak,0,0
31509,Preaek Bak,#DIV/0!,#DIV/0!
30405,Seda,0,0
30306,Sampong Chey,#DIV/0!,#DIV/0!
30912,Tuol Snuol,0,0
31302,Boeng Nay,#DIV/0!,#DIV/0!
30201,Bos Khnaor,0,0
100503,Snuol,0,0
40605,Kouk Banteay,0,0
40205,Prey Kri,#DIV/0!,#DIV/0!
30407,Trapeang Pring,0,0
100104,Kampong Damrei,-7.382550336,7.382550336
40201,Chol Sar,#DIV/0!,#DIV/0!
31313,Thma Pun,#DIV/0!,#DIV/0!
40601,Andoung Snay,#DIV/0!,#DIV/0!
40610,Rolea B'ier,#DIV/0!,#DIV/0!
