CommCode,Commune,2010,diffPix,2011,diffPix,2012,diffPix,2013,diffPix,2014,diffPix,2015,diffPix,,,
90103,Ta Nuon,2201,na,2201,0,2141,60,2134,7,2133,1,2133,0,,,
90104,Thma Sa,1413,na,1413,0,1407,6,1407,0,1407,0,1407,0,,,
90201,Kaoh Sdach,2,na,2,0,2,0,2,0,2,0,2,0,,,
90202,Phnhi Meas,2142,na,2142,0,2142,0,2142,0,2146,-4,2146,0,,,
90203,Preaek Khsach,2662,na,2591,71,2418,173,2368,50,2346,22,2346,0,,,
90301,Chrouy Pras,3054,na,3036,18,3004,32,2972,32,2948,24,2948,0,,,
90302,Kaoh Kapi,109,na,109,0,109,0,109,0,109,0,109,0,,,
90303,Ta Tai Kraom,2051,na,2051,0,2051,0,2051,0,2051,0,2051,0,,,
90401,Smach Mean Chey,173,na,173,0,173,0,175,-2,183,-8,183,0,,,
90403,Stueng Veaeng,58,na,58,0,58,0,58,0,58,0,58,0,,,
