,(Intercept),agr_gdp,dev_agri,dev_env,fdi,for_rem,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
863,-6286.934695,NA,0.040359393,0.274387685,0.010883183,0.084183188,NA,-2.227141775,NA,-590.888634,1.077554515,9,-89.50063263,215.0012653,18.1226133,3.29E-05
1019,-6448.891433,NA,0.057102775,NA,0.0507151,0.085681314,0.489667835,-3.684514847,12.03833559,-595.0453181,1.063485938,10,-85.29114368,215.0267318,18.14807985,3.25E-05
828,-6407.474676,-1.682261918,0.032794298,NA,0.00353745,0.085460665,0.359480643,NA,NA,-598.237227,1.061237141,9,-89.60296715,215.2059343,18.32728233,2.97E-05
950,-6402.102836,1.196133828,NA,0.138016465,NA,0.085458558,0.331520279,NA,7.221213516,-603.233186,1.059798006,9,-89.6590172,215.3180344,18.43938244,2.81E-05
926,-6341.356015,0.208941176,NA,-0.010380279,0.035422302,0.084897125,NA,NA,11.10017631,-606.4876052,1.056866348,9,-89.69597612,215.3919522,18.51330027,2.71E-05
800,-6304.641532,-5.03949186,0.036591387,0.276472913,-0.003372183,0.084542278,NA,NA,NA,-605.2875287,1.056515452,9,-89.71786592,215.4357318,18.55707987,2.65E-05
982,-6306.434821,-1.814934468,NA,0.195948314,NA,0.084580796,NA,-1.00966575,6.829025942,-608.1717506,1.060690644,9,-89.92716011,215.8543202,18.97566826,2.15E-05
1015,-6448.245768,NA,0.056337692,0.350265955,NA,0.085695219,0.639419631,-3.678235609,7.071601103,-594.7868313,1.066398208,10,-85.75003842,215.9445213,19.06586931,2.06E-05
830,-6400.30663,-1.306455331,NA,0.203622115,-0.003171917,0.085363938,0.371688455,NA,NA,-596.7656969,1.065881798,9,-90.32185375,216.6437075,19.76505553,1.45E-05
862,-6297.528156,-4.624323691,NA,0.221252098,0.013912477,0.08435527,NA,-1.706945532,NA,-598.5423058,1.070540941,9,-90.4109634,216.8219268,19.94327484,1.33E-05
991,-6333.974092,NA,0.056906533,0.065998722,0.052185928,0.084726374,NA,-2.388645896,14.97432608,-604.2838485,1.056480214,10,-86.41993756,217.2843196,20.4056676,1.05E-05
988,-6338.374365,0.096426417,0.056538573,NA,0.055827549,0.084774861,NA,-2.35401353,15.39076736,-604.6250265,1.056002632,10,-86.44758767,217.3396198,20.46096781,1.02E-05
1012,-6463.242971,2.876653376,0.052629006,NA,NA,0.085931576,0.63291215,-3.001550695,9.164614152,-597.9722564,1.064706174,10,-86.55793897,217.5603224,20.68167042,9.16E-06
895,-6478.077469,NA,0.049581044,0.3709172,0.010348538,0.085781559,0.810805202,-4.585814919,NA,-579.4657088,1.082643784,10,-86.56734081,217.5791261,20.7004741,9.08E-06
888,-6472.008982,-0.280529024,0.049968865,0.406210135,NA,0.085765319,0.801697525,-4.403797512,NA,-582.2624381,1.080256161,10,-86.62262187,217.6896882,20.81103623,8.59E-06
956,-6400.962353,2.065765757,0.048589654,NA,0.034609346,0.08546115,0.209243888,NA,14.39878641,-606.6720183,1.048776815,10,-87.28231216,219.0090688,22.13041679,4.44E-06
959,-6387.52872,NA,0.04865503,0.062932543,0.03015062,0.085350343,0.172329696,NA,13.21088662,-608.9223028,1.046437293,10,-87.33359751,219.1116395,22.23298749,4.22E-06
892,-6485.719609,0.247500981,0.044190859,NA,0.025643486,0.08589457,0.762467899,-4.221150239,NA,-580.4316023,1.082364014,10,-87.44946034,219.3433651,22.46471316,3.76E-06
984,-6304.401502,-1.973164158,0.054006471,0.277848407,NA,0.084568629,NA,-1.792961,10.13707221,-611.261963,1.052813758,10,-87.45279739,219.3500392,22.47138727,3.74E-06
928,-6349.148817,0.613598993,0.049783845,0.020192647,0.038303263,0.085007841,NA,NA,15.04296615,-610.6024254,1.046335971,10,-87.48271963,219.4098837,22.53123174,3.63E-06
952,-6396.584893,1.159270541,0.047635287,0.181639467,NA,0.085456814,0.288194323,NA,10.78982571,-608.4085228,1.049163134,10,-87.65069066,219.7458258,22.86717379,3.07E-06
1018,-6459.426742,2.960218366,NA,NA,0.04093833,0.085747767,0.557472997,-2.872570012,8.627230801,-588.2562839,1.076357725,10,-88.44095509,221.3263546,24.44770266,1.39E-06
1021,-6440.113529,NA,NA,0.12936891,0.032162668,0.085581594,0.5155979,-2.903445073,6.607703917,-591.0301107,1.073509426,10,-88.4922981,221.4290406,24.55038867,1.32E-06
1014,-6450.305209,1.730993583,NA,0.246707353,NA,0.085708051,0.634421312,-2.752613279,4.443822971,-590.6624328,1.075972009,10,-88.78917464,222.0227937,25.14414175,9.84E-07
864,-6289.190432,-5.850170689,0.044172499,0.324491674,0.011236304,0.084255012,NA,-2.486414937,NA,-599.0390902,1.066612953,10,-88.80961234,222.0636691,25.18501715,9.64E-07
894,-6462.740477,0.395985292,NA,0.252034197,0.013445499,0.085695913,0.704933723,-3.455803827,NA,-581.7491421,1.084534058,10,-88.96425824,222.3729609,25.49430895,8.26E-07
832,-6395.094247,-2.216116354,0.036200344,0.279899271,-0.009311098,0.085335914,0.362913806,NA,NA,-599.0429869,1.05966348,10,-89.20199149,222.8484274,25.96977546,6.51E-07
990,-6331.037679,-0.362969606,NA,0.017944745,0.043492229,0.084711677,NA,-1.482928296,10.61169027,-602.3478924,1.063913841,10,-89.36574605,223.1759365,26.29728457,5.53E-07
958,-6404.634312,1.840301932,NA,0.013915263,0.027718409,0.085447364,0.267610854,NA,9.979794761,-601.5617332,1.059730149,10,-89.4303805,223.3052054,26.42655348,5.18E-07
1020,-6472.878213,3.521052605,0.057700484,NA,0.052246415,0.085856976,0.589139896,-3.851092409,13.22592211,-589.7403063,1.069066513,11,-85.03023911,225.0604782,28.18182626,2.15E-07
1023,-6450.239788,NA,0.058293142,0.193370619,0.039606605,0.085654296,0.552197679,-3.947252221,10.54569945,-592.5426747,1.066178935,11,-85.03993538,225.0798708,28.20121879,2.13E-07
1016,-6460.770134,1.875971671,0.056420427,0.33670976,NA,0.085793979,0.689935244,-3.723433485,7.691017732,-592.3586477,1.069080215,11,-85.68110817,226.3622163,29.48356438,1.12E-07
992,-6333.575586,-0.253469655,0.05689718,0.070367964,0.051765505,0.084723755,NA,-2.398175612,14.81635492,-604.49567,1.056228473,11,-86.4186334,227.8372668,30.95861483,5.37E-08
896,-6475.690501,-0.303762753,0.049658225,0.372254188,0.010373878,0.085764349,0.800183129,-4.568377206,NA,-580.0385587,1.082008984,11,-86.56551193,228.1310239,31.25237189,4.64E-08
960,-6399.393917,1.904500874,0.0486957,0.038881279,0.032102404,0.08544381,0.21321238,NA,14.06415055,-606.5879185,1.0488478,11,-87.27415426,229.5483085,32.66965656,2.28E-08
1022,-6457.491855,2.588176676,NA,0.099103913,0.034978295,0.085714587,0.578859368,-2.980585591,7.69489555,-587.5120865,1.077225915,11,-88.39507315,231.7901463,34.91149433,7.45E-09
1024,-6469.971317,2.931177718,0.058581669,0.159411502,0.04283222,0.085805274,0.624024098,-4.039782297,11.79646387,-588.565907,1.070351672,12,-84.86321759,238.2978638,41.41921179,2.88E-10
529,-5052.37469,NA,NA,NA,NA,0.062238287,NA,NA,NA,NA,1.080765552,4,-115.9264641,242.5195948,45.6409428,3.48E-11
537,-5143.112956,NA,NA,NA,0.099411316,0.063133135,NA,NA,NA,NA,1.092116304,5,-115.5266683,245.3390509,48.46039896,8.51E-12
530,-5080.314485,12.18126426,NA,NA,NA,0.0626848,NA,NA,NA,NA,1.105238933,5,-115.7002992,245.6863126,48.80766063,7.15E-12
561,-5266.920435,NA,NA,NA,NA,0.064282081,0.759502963,NA,NA,NA,1.076536827,5,-115.7077065,245.7011272,48.82247524,7.10E-12
533,-5048.219214,NA,NA,0.538676086,NA,0.062181573,NA,NA,NA,NA,1.083427231,5,-115.7933927,245.8724997,48.99384777,6.52E-12
593,-5037.093067,NA,NA,NA,NA,0.062066842,NA,-2.788765892,NA,NA,1.092610512,5,-115.8261472,245.9380087,49.05935676,6.31E-12
657,-5064.196784,NA,NA,NA,NA,0.062442957,NA,NA,-8.939533229,NA,1.094699947,5,-115.826864,245.9394423,49.06079029,6.30E-12
531,-5053.026834,NA,0.030534164,NA,NA,0.062244546,NA,NA,NA,NA,1.077329091,5,-115.8657275,246.0171693,49.13851733,6.06E-12
562,-5497.439548,22.15554289,NA,NA,NA,0.066806072,1.39565593,NA,NA,NA,1.117507593,6,-115.0879091,248.6373566,51.75870466,1.64E-12
601,-5145.50771,NA,NA,NA,0.135008739,0.063115905,NA,-5.492446667,NA,NA,1.119509338,6,-115.1697085,248.8009555,51.92230354,1.51E-12
625,-5384.546183,NA,NA,NA,NA,0.065345982,1.294301367,-6.103437187,NA,NA,1.099482845,6,-115.3213178,249.1041741,52.2255221,1.30E-12
538,-5164.422132,11.14063609,NA,NA,0.094761922,0.063499652,NA,NA,NA,NA,1.113968094,6,-115.3309782,249.1234948,52.24484281,1.28E-12
569,-5307.891574,NA,NA,NA,0.090008227,0.064699959,0.613708063,NA,NA,NA,1.087625688,6,-115.382235,249.2260085,52.34735654,1.22E-12
539,-5141.793157,NA,0.025813031,NA,0.097361361,0.063119973,NA,NA,NA,NA,1.08897712,6,-115.4817006,249.4249396,52.54628764,1.10E-12
689,-5337.077698,NA,NA,NA,NA,0.065084779,0.946772352,NA,-13.04931163,NA,1.095834623,6,-115.5032299,249.4679982,52.58934626,1.08E-12
541,-5134.304517,NA,NA,0.180139304,0.091283402,0.063041006,NA,NA,NA,NA,1.092078357,6,-115.5140011,249.4895407,52.61088869,1.07E-12
665,-5141.574175,NA,NA,NA,0.094788282,0.063137934,NA,NA,-2.0272363,NA,1.094748379,6,-115.522245,249.5060285,52.62737653,1.06E-12
565,-5261.483765,NA,NA,0.533215574,NA,0.064213336,0.754818348,NA,NA,NA,1.079197608,6,-115.5744428,249.610424,52.73177204,1.01E-12
534,-5074.483439,11.17809501,NA,0.457609269,NA,0.062599849,NA,NA,NA,NA,1.105484582,6,-115.6038079,249.6691542,52.79050225,9.76E-13
594,-5065.440388,11.61728508,NA,NA,NA,0.062511767,NA,-2.47832827,NA,NA,1.114632255,6,-115.6198336,249.7012056,52.82255364,9.61E-13
597,-5027.514235,NA,NA,0.663291697,NA,0.061946948,NA,-3.603050457,NA,NA,1.099346515,6,-115.6303937,249.7223259,52.84367396,9.51E-13
563,-5269.926504,NA,0.031688037,NA,NA,0.064310765,0.767748741,NA,NA,NA,1.072924594,6,-115.6408517,249.7432419,52.86458998,9.41E-13
532,-5079.751575,11.69950573,0.025381103,NA,NA,0.062672343,NA,NA,NA,NA,1.101414522,6,-115.6577706,249.7770798,52.89842779,9.25E-13
661,-5060.940306,NA,NA,0.581660471,NA,0.062403022,NA,NA,-9.870070455,NA,1.099024483,6,-115.6710704,249.8036792,52.92502727,9.13E-13
658,-5081.905951,10.67380209,NA,NA,NA,0.062716955,NA,NA,-3.817976617,NA,1.108161518,6,-115.6853001,249.8321387,52.95348677,9.00E-13
721,-5048.393396,NA,NA,NA,NA,0.062276832,NA,-3.218638931,-10.32621136,NA,1.110532211,6,-115.6941053,249.849749,52.97109701,8.92E-13
535,-5048.62689,NA,0.035845953,0.585072896,NA,0.062184035,NA,NA,NA,NA,1.079622211,6,-115.7094647,249.8804679,53.00181597,8.78E-13
595,-5034.545437,NA,0.040840354,NA,NA,0.062036845,NA,-3.412866952,NA,NA,1.090664941,6,-115.7212284,249.9039954,53.02534339,8.68E-13
659,-5062.742096,NA,0.020542531,NA,NA,0.062414387,NA,NA,-7.507773646,NA,1.090156253,6,-115.8017183,250.0649751,53.18632311,8.01E-13
