"","(Intercept)","corn_med","cpi","for_prod","nfi","rice_med","rub_med","sug_med","time","df","logLik","AICc","delta","weight"
"169",0.00183510714403534,NA,NA,NA,9.80194308281386e-07,NA,-1.63346770217586e-07,NA,-1.72941882367814e-06,5,-163.318094232342,340.386188464683,6.25674398192734,0.00846728126394328
"134",0.00181921557621056,-2.16742390849963e-06,NA,3.401381930455e-10,NA,NA,NA,NA,-1.68936060073569e-06,5,-163.322469266882,340.394938533765,6.26549405100883,0.0084303175337056
"162",0.00181866573612751,-4.22833411737305e-07,NA,NA,NA,NA,-1.71369410209448e-07,NA,-1.74937411681181e-06,5,-163.338242927627,340.426485855254,6.29704137249809,0.00829838383913489
"135",0.00177061790422173,NA,1.34945695663696e-06,2.82715551395291e-10,NA,NA,NA,NA,-1.67637484356241e-06,5,-163.344673945394,340.439347890788,6.3099034080326,0.00824518802019351
"139",0.00178664428910404,NA,1.45088035233037e-06,NA,1.17293669546229e-06,NA,NA,NA,-1.72127115907407e-06,5,-163.347055127955,340.44411025591,6.31466577315388,0.00822557807896141
"138",0.00182371097274174,-1.38846596169777e-06,NA,NA,9.78375733672732e-07,NA,NA,NA,-1.72884045131698e-06,5,-163.348694209036,340.447388418072,6.31794393531658,0.00821210673287926
"13",0.00154300305999937,NA,NA,1.35118886349929e-09,4.0543097185565e-06,NA,NA,NA,NA,4,-165.193944673969,340.740830524409,6.61138604165313,0.00709144014328343
"37",0.00146743848864362,NA,NA,1.35253124233725e-09,NA,NA,-2.40246358965446e-07,NA,NA,4,-165.473545287265,341.300031751,7.17058726824456,0.00536173614235958
"69",0.00144473568868635,NA,NA,1.42545700006333e-09,NA,NA,NA,1.86255555478366e-06,NA,4,-165.522824526343,341.398590229156,7.26914574639983,0.00510391856465876
"7",0.00149827650143313,NA,-2.17577756608988e-06,1.40252814484519e-09,NA,NA,NA,NA,NA,4,-165.552097325258,341.457135826986,7.32769134423035,0.00495667816612637
