"","year","commGIS","ForPix","khum_name","area","diffPix"
"454",2007,90201,3,"Kaoh Sdach",3158707.77,0
"455",2007,90201,3,"Kaoh Sdach",31363,0
"456",2007,90201,3,"Kaoh Sdach",349893.65,0
"457",2007,90201,3,"Kaoh Sdach",117305.56,0
"458",2007,90201,3,"Kaoh Sdach",168473818.2,-31
"459",2007,200211,0,"Thmei",39884407.48,0
"460",2007,70311,4,"Nareay",18325406.24,0
"461",2007,211001,0,"Angkanh",15382640.71,0
"462",2007,70304,0,"Chhuk",32299674.02,0
"463",2007,90201,29,"Kaoh Sdach",803151.19,0
"464",2007,90201,29,"Kaoh Sdach",108202.89,0
"465",2007,90201,29,"Kaoh Sdach",959301.44,0
"466",2007,90201,29,"Kaoh Sdach",558813.59,0
"467",2007,90201,29,"Kaoh Sdach",3158707.77,0
"468",2007,90201,29,"Kaoh Sdach",31363,0
"469",2007,90201,29,"Kaoh Sdach",349893.65,0
"470",2007,90201,29,"Kaoh Sdach",117305.56,0
"471",2007,90201,29,"Kaoh Sdach",168473818.2,-31
"472",2007,200110,148,"Tuol Sdei",73193439.39,0
"473",2007,70103,0,"Champei",31992423.09,0
"474",2007,200103,36,"Chantrea",61559121,0
"475",2007,70402,24,"Chumpu Voan",56727888.18,0
"476",2007,90201,0,"Kaoh Sdach",803151.19,0
"477",2007,90201,0,"Kaoh Sdach",108202.89,0
"478",2007,90201,0,"Kaoh Sdach",959301.44,0
"479",2007,90201,0,"Kaoh Sdach",558813.59,0
"480",2007,90201,0,"Kaoh Sdach",3158707.77,0
"481",2007,90201,0,"Kaoh Sdach",31363,0
"482",2007,90201,0,"Kaoh Sdach",349893.65,0
"483",2007,90201,0,"Kaoh Sdach",117305.56,0
"484",2007,90201,0,"Kaoh Sdach",168473818.2,-31
"485",2007,90201,0,"Kaoh Sdach",803151.19,0
"486",2007,90201,0,"Kaoh Sdach",108202.89,0
"487",2007,90201,0,"Kaoh Sdach",959301.44,0
"488",2007,90201,0,"Kaoh Sdach",558813.59,0
"489",2007,90201,0,"Kaoh Sdach",3158707.77,0
"490",2007,90201,0,"Kaoh Sdach",31363,0
"491",2007,90201,0,"Kaoh Sdach",349893.65,0
